product_name, product_price, supplier_id
Bose QuietComfort 35 II Wireless Bluetooth Headphones,349,1
Fitbit Versa 2 Health and Fitness Smartwatch,199,1
Amazon Echo (3rd Generation),99,1
Dyson Cyclone V10 Absolute Cordless Vacuum,599,1
Sony PS4 Pro 1TB Console,399,1
Apple AirPods Pro,249,1
Roku Streaming Stick+,49,1
Instant Pot Duo 7-in-1 Electric Pressure Cooker,79,1
Nintendo Switch Lite,199,1
Ring Video Doorbell 2,199,1
Anker PowerCore 10000 Portable Charger,29,2
Samsung Galaxy S20,999,2
Cuisinart Classic 7-Cup Food Processor,99,2
Dell XPS 13 Laptop,199,2
Canon EOS Rebel T7 DSLR Camera Kit,449,2
Microsoft Surface Laptop 3,999,2
Philips Sonicare DiamondClean Toothbrush,199,2
iRobot Roomba 960 Robot Vacuum,499,2
Garmin Forerunner 245 GPS Running Smartwatch,299,2
GoPro Hero8 Black Action Camera,399,3
ASUS Chromebook Flip C434TA-DS384T 2-in-1,569,3
JanSport Big Student Backpack,48,3
KitchenAid Artisan Stand Mixer,379,3
LG OLED55C9PUA 4K Smart OLED TV 1,999,3
Nest Learning Thermostat,249,3
Samsung Galaxy Tab S6,649,3
Sennheiser HD 660 S HiRes Audiophile Headphones,499,3
Sonos Beam Smart TV Sound Bar,399,3
TCL 55S425 55 inch 4K Smart LED Roku TV,299,3
VIZIO M-Series Quantum 50” 4K HDR Smart TV,479,4
Apple iPad 10.2-Inch Wi-Fi + Cellular 32GB,459,4
Belkin Boost Up Wireless Charging Mat,49,4
Bose SoundSport Wireless Earbuds,129,4
DJI Mavic Air Fly More Combo Drone,919,4
Fujifilm Instax Mini 9 Instant Camera,69,4
Google Nest Hub Smart Display,89,4
HP Spectre x360 Convertible Laptop 1,299,4
JBL Flip 4 Waterproof Portable Bluetooth Speaker,99,4
Lenovo Yoga C940 2-in-1 Laptop 1,299,4
LG SK9Y 5.1.2ch Hi-Res Audio Soundbar,699,5
Marshall Stanmore II Wireless Wi-Fi Alexa Voice Smart Speaker,399,5
Netgear Orbi RBK50 Mesh Wi-Fi Router,299,5
Oculus Quest All-in-one VR Gaming Headset,399,5
Philips Norelco Shaver 9700,299,5
Razer Blade 15 Gaming Laptop 1,999,5
Samsung Galaxy Watch Active2 Smartwatch,269,5
Sony WH-1000XM3 Noise Cancelling Headphones,349,5
Ultimate Ears BOOM 2 Waterproof Portable Bluetooth Speaker,99,5
Xbox One X 1TB Console,499,5
Yeti Rambler 20 oz Tumbler,29,5
